session_id,segment_id,rep_index,t_s,tof_mm,depth_mm,baseline_mm
session1,0,0,12.7,81.16666666666667,359.8333333333333,441.0
session1,0,1,14.4,63.833333333333336,377.1666666666667,441.0
session1,0,2,15.2,65.94444444444444,375.05555555555554,441.0
session1,0,3,15.9,49.0,392.0,441.0
session1,0,4,16.7,64.55555555555556,376.44444444444446,441.0
session1,0,5,17.5,42.666666666666664,398.3333333333333,441.0
session1,0,6,18.1,60.166666666666664,380.8333333333333,441.0
session1,0,7,19.0,36.166666666666664,404.8333333333333,441.0
session1,0,8,19.8,77.83333333333333,363.1666666666667,441.0
session1,0,9,20.5,35.5,405.5,441.0
session1,0,10,21.3,75.66666666666667,365.3333333333333,441.0
session1,0,11,22.8,73.5,367.5,441.0
session1,0,12,24.3,85.83333333333333,355.1666666666667,441.0
session1,0,13,25.1,50.05555555555555,390.94444444444446,441.0
session1,0,14,26.0,83.55555555555556,357.44444444444446,441.0
session1,0,15,26.6,46.44444444444445,394.55555555555554,441.0
session1,0,16,27.3,78.5,362.5,441.0
session1,0,17,28.1,45.61111111111111,395.3888888888889,441.0
session1,0,18,29.6,43.555555555555564,397.44444444444446,441.0
session1,0,19,30.200000000000003,83.72222222222221,357.27777777777777,441.0
session1,0,20,31.200000000000003,41.16666666666667,399.8333333333333,441.0
session1,0,21,31.9,76.33333333333333,364.6666666666667,441.0
session1,0,22,32.800000000000004,42.16666666666667,398.8333333333333,441.0
session1,0,23,34.300000000000004,51.50000000000001,389.5,441.0
session1,0,24,35.0,75.22222222222223,365.77777777777777,441.0
session1,0,25,35.800000000000004,47.83333333333334,393.16666666666663,441.0
session1,0,26,36.5,75.55555555555556,365.44444444444446,441.0
session1,0,27,37.4,43.27777777777779,397.72222222222223,441.0
session1,0,28,38.1,80.5,360.5,441.0
session1,0,29,39.0,45.16666666666668,395.8333333333333,441.0
session1,0,30,39.7,70.66666666666667,370.3333333333333,441.0
session1,0,31,40.400000000000006,62.38888888888889,378.6111111111111,441.0
session1,0,32,41.1,76.66666666666669,364.3333333333333,441.0
session1,0,33,41.900000000000006,41.83333333333335,399.16666666666663,441.0
session1,0,34,42.900000000000006,72.33333333333336,368.66666666666663,441.0
session1,0,35,44.400000000000006,76.33333333333336,364.66666666666663,441.0
session1,0,36,45.5,83.50000000000001,357.5,441.0
session1,0,37,46.6,83.0,358.0,441.0
session1,0,38,48.0,85.66666666666667,355.3333333333333,441.0
session1,0,39,48.900000000000006,90.50000000000001,350.5,441.0
session1,0,40,50.1,89.50000000000001,351.5,441.0
session1,0,41,50.900000000000006,90.33333333333336,350.66666666666663,441.0
session1,0,42,51.900000000000006,87.66666666666669,353.3333333333333,441.0
session1,0,43,53.0,58.66666666666668,382.3333333333333,441.0
session1,0,44,53.8,81.66666666666667,359.3333333333333,441.0
session1,0,45,54.900000000000006,82.16666666666667,358.8333333333333,441.0
session1,0,46,55.8,77.16666666666667,363.8333333333333,441.0
session1,0,47,57.1,84.33333333333334,356.66666666666663,441.0
session2,0,0,1.4,93.5,280.70000000000005,374.20000000000005
session2,0,1,2.4000000000000004,103.66666666666667,270.53333333333336,374.20000000000005
session2,0,2,3.4000000000000004,97.5,276.70000000000005,374.20000000000005
session2,0,3,4.4,93.66666666666667,280.53333333333336,374.20000000000005
session2,0,4,5.300000000000001,103.16666666666667,271.03333333333336,374.20000000000005
session2,0,5,6.1000000000000005,98.66666666666667,275.53333333333336,374.20000000000005
session2,0,6,7.0,84.33333333333333,289.86666666666673,374.20000000000005
session2,0,7,8.0,84.83333333333333,289.36666666666673,374.20000000000005
session2,0,8,8.9,100.33333333333333,273.86666666666673,374.20000000000005
session2,0,9,9.8,92.83333333333333,281.36666666666673,374.20000000000005
session2,0,10,10.8,82.5,291.70000000000005,374.20000000000005
session2,0,11,11.7,80.83333333333333,293.36666666666673,374.20000000000005
session2,0,12,12.7,78.0,296.20000000000005,374.20000000000005
session2,0,13,13.7,83.16666666666667,291.03333333333336,374.20000000000005
session2,0,14,14.6,72.5,301.70000000000005,374.20000000000005
session2,0,15,15.5,82.33333333333333,291.86666666666673,374.20000000000005
session2,0,16,16.5,91.0,283.20000000000005,374.20000000000005
session2,0,17,17.400000000000002,88.33333333333333,285.86666666666673,374.20000000000005
session2,0,18,18.4,63.5,310.70000000000005,374.20000000000005
session2,0,19,19.4,76.5,297.70000000000005,374.20000000000005
session2,0,20,20.4,65.33333333333333,308.86666666666673,374.20000000000005
session3,0,0,1.5,123.0,314.5,437.5
session3,0,1,2.8000000000000003,100.33333333333333,337.1666666666667,437.5
session3,0,2,4.1000000000000005,96.33333333333333,341.1666666666667,437.5
session3,0,3,5.300000000000001,111.0,326.5,437.5
session3,0,4,6.5,90.33333333333333,347.1666666666667,437.5
session3,0,5,7.800000000000001,78.44444444444444,359.05555555555554,437.5
session3,0,6,9.0,78.0,359.5,437.5
session3,0,7,10.2,69.0,368.5,437.5
session3,0,8,11.4,94.66666666666667,342.8333333333333,437.5
session3,0,9,12.7,97.66666666666667,339.8333333333333,437.5
session3,0,10,13.9,101.16666666666667,336.3333333333333,437.5
session3,0,11,15.1,96.0,341.5,437.5
session3,0,12,16.2,87.33333333333333,350.1666666666667,437.5
session3,0,13,17.5,98.33333333333333,339.1666666666667,437.5
session3,0,14,18.8,111.66666666666667,325.8333333333333,437.5
session3,0,15,19.9,108.66666666666667,328.8333333333333,437.5
session3,0,16,21.1,95.0,342.5,437.5
session3,0,17,22.3,82.5,355.0,437.5
session3,0,18,23.5,91.0,346.5,437.5
session3,0,19,24.700000000000003,99.66666666666667,337.8333333333333,437.5
session3,0,20,25.8,107.83333333333333,329.6666666666667,437.5
session3,0,21,27.0,109.33333333333333,328.1666666666667,437.5
session3,0,22,28.200000000000003,92.83333333333333,344.6666666666667,437.5
session3,0,23,29.4,93.66666666666667,343.8333333333333,437.5
session3,0,24,30.6,88.16666666666667,349.3333333333333,437.5
session3,0,25,31.9,87.83333333333333,349.6666666666667,437.5
session4,0,0,0.2,120.83333333333333,212.96666666666653,333.79999999999984
session4,0,1,1.2000000000000002,114.0,219.79999999999984,333.79999999999984
session4,0,2,2.1,111.16666666666667,222.63333333333316,333.79999999999984
session4,0,3,2.9000000000000004,99.33333333333333,234.46666666666653,333.79999999999984
session4,0,4,3.8,102.33333333333333,231.46666666666653,333.79999999999984
session4,0,5,4.6000000000000005,110.83333333333333,222.96666666666653,333.79999999999984
session4,0,6,5.5,118.0,215.79999999999984,333.79999999999984
session4,0,7,6.300000000000001,108.83333333333333,224.96666666666653,333.79999999999984
session4,0,8,7.1000000000000005,111.16666666666667,222.63333333333316,333.79999999999984
session4,0,9,8.0,110.33333333333333,223.46666666666653,333.79999999999984
session4,0,10,8.8,113.33333333333333,220.46666666666653,333.79999999999984
session4,0,11,9.8,112.83333333333333,220.96666666666653,333.79999999999984
session4,0,12,10.6,112.5,221.29999999999984,333.79999999999984
session4,0,13,11.5,87.0,246.79999999999984,333.79999999999984
session4,0,14,12.4,101.83333333333333,231.96666666666653,333.79999999999984
session4,0,15,13.3,92.16666666666667,241.63333333333316,333.79999999999984
